id;user_id;title;description;industry;input_mode;status;overall_score;created_at;updated_at
cd8a2131-64a9-4eeb-a216-3c427cb81fe9;;A system that helps people reset from screen fatigue, overconsumption, and onlin;A system that helps people reset from screen fatigue, overconsumption, and online overload without deleting their entire life.;;description;Pending;0;2026-07-28 16:04:09.683913+00;2026-07-28 16:04:09.683913+00
1e47a3a2-5e71-42ee-8527-bf1231efd3c8;;Food waste reduction platform connecting restaurants with NGOs.;Food waste reduction platform connecting restaurants with NGOs.;;description;Pending;0;2026-07-28 16:15:20.814786+00;2026-07-28 16:15:20.814786+00
f0fd4065-eab6-4718-b999-5463e9f4ca28;;A tool that helps creators manage content ideas, posting, analytics, deals, and;A tool that helps creators manage content ideas, posting, analytics, deals, and income in one place without juggling five apps.;;description;Pending;0;2026-07-28 17:00:52.611095+00;2026-07-28 17:00:52.611095+00
b649df55-6406-4289-8e8c-4e1462250c4a;;A platform that looks at your interests and skills and suggests income paths or;A platform that looks at your interests and skills and suggests income paths or businesses you can realistically start.;;description;Pending;0;2026-07-28 17:42:28.63215+00;2026-07-28 17:42:28.63215+00
979f007e-f4a0-41e1-81f2-f9ce1b345ba3;;Courses paired with real accountability, mentors, and peers instead of one time;Courses paired with real accountability, mentors, and peers instead of one time videos you never finish.;;description;Pending;0;2026-07-28 19:53:45.739677+00;2026-07-28 19:53:45.739677+00
72f5b88c-b4ef-4b01-a04b-7ac7224ca9f2;;An Al that helps you think through life decisions logically when emotions take o;An Al that helps you think through life decisions logically when emotions take over.;;description;Pending;0;2026-07-28 19:58:30.328779+00;2026-07-28 19:58:30.328779+00
c20d542e-e860-4b2c-b20e-3fa876adb9f4;;An Al that helps you think through life decisions logically when emotions take o;An Al that helps you think through life decisions logically when emotions take over.;;description;Pending;0;2026-07-28 20:00:16.974843+00;2026-07-28 20:00:16.974843+00
2bcea6ea-403b-407a-b5a2-aebb2ad95da6;;An Al that helps you think through life decisions logically when emotions take o;An Al that helps you think through life decisions logically when emotions take over.;;description;Pending;0;2026-07-28 20:01:31.558742+00;2026-07-28 20:01:31.558742+00
c3007b90-5e03-46b3-bb2d-6a90974046dd;;An Al that helps you think through life decisions logically when emotions take o;An Al that helps you think through life decisions logically when emotions take over.;;description;Pending;0;2026-07-28 20:02:29.064373+00;2026-07-28 20:02:29.064373+00
bc881fe4-fec4-4743-ba4c-362f467d0285;;An Al that helps you think through life decisions logically when emotions take o;An Al that helps you think through life decisions logically when emotions take over.;;description;Pending;0;2026-07-28 20:07:21.799584+00;2026-07-28 20:07:21.799584+00
50a299f4-ddc4-4fc4-9eab-8e0c42ff771a;;An Al that helps you think through life decisions logically when emotions take o;An Al that helps you think through life decisions logically when emotions take over.;;description;Pending;0;2026-07-28 20:08:25.473056+00;2026-07-28 20:08:25.473056+00
1c1b0d5b-7832-45c8-9ec9-be758c9c1887;;Therapy and support designed specifically for entrepreneurs and creators who don;Therapy and support designed specifically for entrepreneurs and creators who don’t relate to traditional mental health spaces;;description;Pending;0;2026-07-29 04:33:11.883637+00;2026-07-29 04:33:11.883637+00
77ed539c-3578-4ffd-90fb-ed2b98fbf673;;Therapy and support designed specifically for entrepreneurs and creators who don;Therapy and support designed specifically for entrepreneurs and creators who don’t relate to traditional mental health spaces;;description;Pending;0;2026-07-29 04:49:57.146244+00;2026-07-29 04:49:57.146244+00
6c0a7465-bee9-49a1-99df-ee1a825bbe1f;;A platform that looks at your interests and skills and suggests income paths or;A platform that looks at your interests and skills and suggests income paths or businesses you can realistically start.;;description;Pending;0;2026-07-29 05:30:40.142716+00;2026-07-29 05:30:40.142716+00
fa2cd0e0-03d3-44ef-977e-17be522a41ed;;A space where people can share thoughts and content without algorithms pushing a;A space where people can share thoughts and content without algorithms pushing anxiety or comparison.;;description;Pending;0;2026-07-29 05:49:20.200905+00;2026-07-29 05:49:20.200905+00
92eccfe3-29de-4966-93b5-c2537c032e89;;An app to book KSRTC bus tickets through India;An app to book KSRTC bus tickets through India;;description;Pending;0;2026-07-29 10:10:35.492134+00;2026-07-29 10:10:35.492134+00
89ea0e38-b974-4dbb-b009-43165659224b;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;Fitness app to capture calories, diet plan, exe;Fitness app to capture calories, diet plan, exe;;description;Pending;0;2026-07-29 12:01:33.52187+00;2026-07-29 12:01:33.52187+00
03e2932d-3561-4256-83c0-8df89af05e44;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;An fitness app to capture calories, diet plan, execrise;An fitness app to capture calories, diet plan, execrise;;description;Pending;0;2026-07-29 12:10:36.373989+00;2026-07-29 12:10:36.373989+00
0789a7b9-7016-48cf-a324-168a205addfa;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;train ticket booking app;train ticket booking app;;description;Pending;0;2026-07-29 15:37:04.954906+00;2026-07-29 15:37:04.954906+00
a2573517-8253-4fcc-9590-faa952a2fac0;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;train ticket booking app;train ticket booking app;;description;Pending;0;2026-07-29 15:37:35.719546+00;2026-07-29 15:37:35.719546+00
3f0b282b-357b-4de3-9bb5-98a4ff179545;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;train ticket booking app;train ticket booking app;;description;Pending;0;2026-07-29 15:40:31.21937+00;2026-07-29 15:40:31.21937+00
befa4345-b0fe-4d08-b5db-34a6168e52e4;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;An app to generate Study plan for students;An app to generate Study plan for students;;description;Pending;0;2026-07-29 17:03:06.040524+00;2026-07-29 17:03:06.040524+00
c2add7bf-2f29-45c5-8fa6-fe6c4ffebe7e;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;An app to generate Study plan for students;An app to generate Study plan for students;;description;Pending;0;2026-07-29 17:05:44.265625+00;2026-07-29 17:05:44.265625+00
