id;user_id;category;title;body;link;read;created_at;analysis_request_id;severity;agent_name;event_type;navigation_target;navigation_id;analysis_title;metadata;updated_at
fa72f191-22a7-4e40-9c38-b5997708a0a2;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;analysis;Discovery Galaxy opened;Live agent orchestration started for this analysis.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:43:14.220895+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;;galaxy.opened;;;;{};2026-07-29 11:43:14.220895+00
d2f4ce28-a283-492c-8f79-58807deebcaa;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;agent;Feasibility Analysis started;Feasibility Analysis agent began working on your idea.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:43:14.929171+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;Feasibility Analysis;agent.started;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;;"{""agent_key"":""feasibility""}";2026-07-29 11:43:14.929171+00
527f11b2-b696-4961-84fd-dcbe2357017f;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;agent;Gap Analysis started;Gap Analysis agent began working on your idea.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:43:15.077724+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;Gap Analysis;agent.started;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;;"{""agent_key"":""gap""}";2026-07-29 11:43:15.077724+00
b276be47-3945-4021-936e-4892416d9428;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;error;Feasibility Analysis failed;Feasibility Analysis agent could not be started.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:43:15.230991+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;error;Feasibility Analysis;agent.failed;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;Algorithm-Free Social Content Sharing;"{""agent_key"":""feasibility""}";2026-07-29 11:43:15.230991+00
fc45c5a5-96fe-4334-a639-02eb374326c3;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;error;Gap Analysis failed;Gap Analysis agent could not be started.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:43:15.379612+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;error;Gap Analysis;agent.failed;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;Algorithm-Free Social Content Sharing;"{""agent_key"":""gap""}";2026-07-29 11:43:15.379612+00
5628faed-3ac8-4ab6-9dfe-3ca1926a98e6;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;analysis;Discovery Galaxy opened;Live agent orchestration started for this analysis.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:47:32.985394+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;;galaxy.opened;;;;{};2026-07-29 11:47:32.985394+00
726f2aab-d45f-42f9-a5ab-44c412864325;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;agent;Gap Analysis started;Gap Analysis agent began working on your idea.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:47:33.705981+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;Gap Analysis;agent.started;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;;"{""agent_key"":""gap""}";2026-07-29 11:47:33.705981+00
c65ff826-c9d8-4c96-9d72-f8b029e0a91e;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;agent;Feasibility Analysis started;Feasibility Analysis agent began working on your idea.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:47:33.846153+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;Feasibility Analysis;agent.started;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;;"{""agent_key"":""feasibility""}";2026-07-29 11:47:33.846153+00
39d48a85-4aa9-46de-b9b0-78ad4f591edd;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;error;Feasibility Analysis failed;Feasibility Analysis agent could not be started.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:47:34.2833+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;error;Feasibility Analysis;agent.failed;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;Algorithm-Free Social Content Sharing;"{""agent_key"":""feasibility""}";2026-07-29 11:47:34.2833+00
daecd3d7-94b1-403a-9fbc-8e2e7cbda9e6;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;error;Gap Analysis failed;Gap Analysis agent could not be started.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:47:34.420328+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;error;Gap Analysis;agent.failed;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;Algorithm-Free Social Content Sharing;"{""agent_key"":""gap""}";2026-07-29 11:47:34.420328+00
cc00a919-ae58-41b5-9af3-752cbb308dd1;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;analysis;Discovery Galaxy opened;Live agent orchestration started for this analysis.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:49:03.952447+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;;galaxy.opened;;;;{};2026-07-29 11:49:03.952447+00
9f161200-b480-4beb-97f6-71c5b866a8a3;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;agent;Gap Analysis started;Gap Analysis agent began working on your idea.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:49:04.725047+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;Gap Analysis;agent.started;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;;"{""agent_key"":""gap""}";2026-07-29 11:49:04.725047+00
13b6f25e-f67e-4c0d-9580-a6797daffb93;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;agent;Feasibility Analysis started;Feasibility Analysis agent began working on your idea.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:49:04.872503+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;info;Feasibility Analysis;agent.started;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;;"{""agent_key"":""feasibility""}";2026-07-29 11:49:04.872503+00
f09176c7-291f-406b-9d16-2d90b3a51b1d;e87e1f6b-1658-4aee-b7d7-3de7970dccc4;error;Gap Analysis failed;Gap Analysis agent could not be started.;/discovery/85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;false;2026-07-29 11:49:05.332773+00;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;error;Gap Analysis;agent.failed;discovery;85f1ee3d-17e8-46c8-ab21-5a00ba31ef18;Algorithm-Free Social Content Sharing;"{""agent_key"":""gap""}";2026-07-29 11:49:05.332773+00
