id;analysis_id;agent_key;agent_name;message;log_level;created_at
05f98508-2a75-4795-8a16-bcd84a6cc0d7;cd8a2131-64a9-4eeb-a216-3c427cb81fe9;;System;Analysis created. Waiting for AI agents to start.;Info;2026-07-28 16:04:09.683913+00
070a4f27-b203-4ed2-bf64-21bd14209cde;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;;System;Analysis created. Waiting for AI agents to start.;Info;2026-07-28 16:15:20.814786+00
5a157fbb-743a-45a6-8bd1-0b46e3197415;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;market;Market Research;Analyzing industry reports and market data…;Info;2026-07-28 16:15:30.548902+00
5f9c917d-2b01-46f8-8591-4d3469ef6cac;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;market;Market Research;Market Research completed;Info;2026-07-28 16:15:34.392077+00
9d980f94-d1ab-4688-8544-50bfa6003ce0;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;competitor;Competitor Analysis;Found 15 key competitors;Info;2026-07-28 16:15:34.719966+00
0e98de7a-eb9e-4276-9d32-f70b33132692;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;competitor;Competitor Analysis;Competitor Analysis completed;Info;2026-07-28 16:15:38.419157+00
bbee2f77-33d4-417f-b25e-87cfcd11360f;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;gap;Gap Analysis;Identified 7 major market gaps;Info;2026-07-28 16:15:38.753429+00
0cd77ce2-044e-4479-a456-5702c58d24c1;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;gap;Gap Analysis;Gap Analysis completed;Info;2026-07-28 16:15:42.384208+00
122a899a-4c69-42aa-a2c3-fc2fb979649e;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;tech;Technical Feasibility;Evaluating technical complexity…;Info;2026-07-28 16:15:42.700171+00
e685c9a9-ed1a-448d-af23-24060471258d;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;tech;Technical Feasibility;Technical Feasibility completed;Info;2026-07-28 16:15:46.410833+00
596497cc-143a-443a-9889-2e6e28031115;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;business;Business Feasibility;Business Feasibility: 60% complete;Info;2026-07-28 16:15:46.740882+00
26eb7609-576d-4898-835d-0f1c9bf30d68;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;business;Business Feasibility;Business Feasibility completed;Info;2026-07-28 16:15:50.41146+00
3fc47350-359b-4481-bf93-85e1b4979f22;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;risk;Risk & Challenge;Scanning potential risks…;Info;2026-07-28 16:15:50.744487+00
9cd033d4-2762-460a-aa87-1909bd7cd852;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;risk;Risk & Challenge;Risk & Challenge completed;Info;2026-07-28 16:15:54.418941+00
e3aba06e-cc3b-4cdd-a84f-4bbdf7922fb0;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;score;Opportunity Scoring;Opportunity Scoring in progress;Info;2026-07-28 16:15:54.759073+00
f703cc92-0a54-44b7-8972-f65d2d5e9c89;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;score;Opportunity Scoring;Opportunity Scoring completed;Info;2026-07-28 16:15:58.392017+00
94f3ad5d-1c52-4d06-9efe-e9bafa06600b;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;reco;Recommendation Engine;Generating strategic recommendations…;Info;2026-07-28 16:15:58.727115+00
242470d6-dc2e-4a7f-b877-b727c70802c3;1e47a3a2-5e71-42ee-8527-bf1231efd3c8;reco;Recommendation Engine;Recommendation Engine completed;Info;2026-07-28 16:16:02.422663+00
600a8960-35d2-4b1b-9b75-e0b1efba8053;f0fd4065-eab6-4718-b999-5463e9f4ca28;;System;Analysis created. Waiting for AI agents to start.;Info;2026-07-28 17:00:52.611095+00
82d8deb9-56b3-4e2b-91a0-2e501ec1ad02;f0fd4065-eab6-4718-b999-5463e9f4ca28;market;Market Research;Analyzing industry reports and market data…;Info;2026-07-28 17:01:12.726017+00
c782356c-fa9b-4687-8b9a-71eecd8a183a;f0fd4065-eab6-4718-b999-5463e9f4ca28;market;Market Research;Market Research completed;Info;2026-07-28 17:01:16.660142+00
a1806dd5-1c9f-4261-9d88-789fa5f13dba;f0fd4065-eab6-4718-b999-5463e9f4ca28;competitor;Competitor Analysis;Found 15 key competitors;Info;2026-07-28 17:01:16.982554+00
06ae15f8-1948-4ccf-8eff-5ed967a3defc;f0fd4065-eab6-4718-b999-5463e9f4ca28;competitor;Competitor Analysis;Competitor Analysis completed;Info;2026-07-28 17:01:20.653495+00
